,Customers,Sales_Amount,Transaction,Avg_Transaction_Value,DaysSinceLastPurchase,Recency,Frequency,Monetary,Segment
0,000644df-aa9b-4880-b551-357288f59223,17.7,2,8.85,50,2,2,2,Lappsed
1,000668dc-83c7-4a1f-92bb-352709cb8294,1389.0000000000002,20,69.45000000000002,7,1,1,1,Best Customers
2,0006a7d2-246c-4533-97b0-356539d30012,415.1999999999996,8,51.89999999999995,17,1,1,1,Best Customers
3,000ab955-f4b1-4c74-89bc-3569ecd81562,23.400000000000006,3,7.800000000000002,4,1,2,3,Recent low value
4,000fe1a3-a44c-4e39-8a70-352b9779839c,87.39999999999998,4,21.849999999999994,60,2,2,1,Big spenders
5,0012540a-f58e-4933-b50c-352aa9e2ee2c,828.7500000000034,15,55.25000000000023,4,1,1,1,Best Customers
6,00130dfb-f2ef-49a5-a350-354f31165a64,43.650000000000006,3,14.550000000000002,10,1,2,2,Recent low value
7,001363b0-828b-4f33-b917-353a6120071a,30.450000000000003,3,10.15,87,3,2,2,Inactive Accounts
8,001bf76e-dde2-4f75-a057-35410d7a3676,1059.000000000002,12,88.25000000000017,7,1,1,1,Best Customers
9,001c8548-3e90-4d85-80df-352621f61d9d,297.44999999999965,9,33.04999999999996,30,2,1,1,Big spenders
10,001dabcd-c9c0-417a-862e-353ea32bca10,2302.800000000002,19,121.2000000000001,9,1,1,1,Best Customers
11,001dad1b-0c86-4694-890a-357edca4bfae,0.0,1,0.0,16,1,3,3,Recent low value
12,001efd4f-c79f-400c-8353-354d7a525408,1543.9999999999982,16,96.49999999999989,6,1,1,1,Best Customers
13,001f70a8-08eb-46f8-98c4-3568edba3a7e,3.95,1,3.95,128,3,3,3,Inactive Accounts
14,001f7343-be42-4002-86da-356f37b5e912,16.599999999999998,2,8.299999999999999,96,3,2,2,Inactive Accounts
15,001fcf7d-7c5c-4307-981b-3568b785fc64,144.60000000000002,6,24.100000000000005,39,2,1,1,Big spenders
16,00208250-2883-441d-9fea-3577bf27a702,23.1,2,11.55,32,2,2,2,Lappsed
17,0022148d-4a9d-4508-b251-3572e67be22a,4.35,1,4.35,77,3,3,3,Inactive Accounts
18,0022c464-cb44-41e2-8e80-3570cdc18eeb,66.40000000000002,4,16.600000000000005,19,1,2,2,Recent low value
19,00245a84-9ac0-4188-baa0-357d5ed5c81e,18.599999999999998,2,9.299999999999999,24,2,2,2,Lappsed
20,0025cee6-23c5-42f7-ad93-352f05f78a63,3529.1999999999666,34,103.79999999999902,11,1,1,1,Best Customers
21,0028960f-9a04-4417-913e-356ff4673413,460.00000000000017,10,46.000000000000014,9,1,1,1,Best Customers
22,002a1c3f-0cf2-42f4-9c2d-3541deb9344a,7.8,1,7.8,104,3,3,3,Inactive Accounts
23,002b0b09-2a5d-40f0-827f-355bf4c89f42,24.4,2,12.2,78,3,2,2,Inactive Accounts
24,002c60b7-37ac-4cec-afca-352a4b82982d,550.9999999999994,10,55.099999999999945,33,2,1,1,Big spenders
25,002d87c0-afc1-464d-9a50-356f278f37c6,88.75,5,17.75,95,3,1,2,Loyal Lapsed
26,002e8790-c5ab-4f96-81ce-3533194672f1,10.5,3,3.5,55,2,2,3,Lappsed
27,002ea774-5e7b-47de-8b02-357c85a6301d,22.599999999999998,2,11.299999999999999,28,2,2,2,Lappsed
28,003114a1-62d8-41f0-a43e-35370171c487,718.2500000000016,13,55.25000000000012,27,2,1,1,Big spenders
29,00344de9-d930-45fc-b30b-352da036a97d,141.99999999999994,5,28.399999999999988,60,2,1,1,Big spenders
30,00373d06-ba1d-4605-842c-352b855ecb4e,39.3,3,13.1,92,3,2,2,Inactive Accounts
31,00388d3a-1126-4302-ab88-356ca59ca764,12.2,2,6.1,109,3,2,3,Inactive Accounts
32,003a2375-7613-440d-adf9-356ed4e20fa9,73.60000000000002,4,18.400000000000006,92,3,2,2,Inactive Accounts
33,003ccb28-6958-42a2-8c6d-354ff94a4d6e,53.70000000000001,3,17.900000000000002,43,2,2,2,Lappsed
34,003edf2f-6054-4e0d-acfe-353f4ee58acb,123.79999999999995,4,30.94999999999999,56,2,2,1,Big spenders
35,003f331f-e276-4ed9-b788-355dc1d56321,394.3999999999998,8,49.299999999999976,11,1,1,1,Best Customers
36,004341c1-031c-4d52-84bf-354394ba8700,108.24999999999999,5,21.65,108,3,1,1,Loyal Lapsed
37,00462335-be0f-4fd2-92d0-354cab14aae0,319.5999999999998,8,39.949999999999974,23,2,1,1,Big spenders
38,004835f3-d8f5-4f65-b56b-356be1713022,4.35,1,4.35,113,3,3,3,Inactive Accounts
39,004992b3-e1ef-4a9f-a65b-354654d273d6,344.9999999999997,10,34.49999999999997,21,1,1,1,Best Customers
40,0049ba22-7d1c-44ca-80cf-3533b33eae1c,3.95,1,3.95,132,3,3,3,Inactive Accounts
41,004cebe9-d5b2-4150-853e-3526e8b67da3,169.19999999999993,6,28.19999999999999,52,2,1,1,Big spenders
42,004ecb49-aa78-424a-8c0e-3550b609bc10,13.0,1,13.0,131,3,3,2,Inactive Accounts
43,00504458-64a9-4f45-8e77-357d92308f52,8.35,1,8.35,22,1,3,2,Recent low value
44,0053df8d-098f-4689-8ae9-3548a9854a65,37.95,3,12.65,35,2,2,2,Lappsed
45,0057d515-1431-4738-a838-356c55740fc1,3.95,1,3.95,110,3,3,3,Inactive Accounts
46,00584312-fca8-4aa3-8779-35465180bb07,37.95000000000001,3,12.650000000000004,33,2,2,2,Lappsed
47,0059c215-de94-4c4a-a2ec-35718b68b43d,4.35,1,4.35,84,3,3,3,Inactive Accounts
48,005d0632-c0a1-4dc9-8190-352fc87dd300,260.39999999999986,6,43.39999999999998,36,2,1,1,Big spenders
49,005e0333-b05b-4f17-8669-35796ad8c046,3.95,1,3.95,44,2,3,3,Lappsed
50,005f0245-e01b-4a9c-aa03-3540085e62e8,86.75000000000003,5,17.350000000000005,33,2,1,2,Loyal Customers
51,0060932b-5f0c-4507-8f93-353c645eb7cb,277.5999999999998,8,34.699999999999974,64,2,1,1,Big spenders
52,0065c1d6-f2e2-4217-bd22-352878f4e74a,153.00000000000003,6,25.500000000000004,40,2,1,1,Big spenders
53,006759c7-6454-4225-9a57-352d8af9f16c,20.1,2,10.05,102,3,2,2,Inactive Accounts
54,006b6ccd-56e7-457f-9da9-357b0e2ce3d6,112.75,5,22.55,15,1,1,1,Best Customers
55,006cb7ef-6294-489d-9ad7-357487f77114,221.59999999999985,8,27.69999999999998,4,1,1,1,Best Customers
56,006d82c2-4ca8-4f96-abd1-3568985d0def,470.39999999999975,8,58.79999999999997,72,3,1,1,Loyal Lapsed
57,006f4b66-abbb-45d3-aef5-352bb1da03b6,1910.7000000000037,18,106.1500000000002,10,1,1,1,Best Customers
58,00724128-4e77-487f-adb3-35558aeb4043,132.0,4,33.0,25,2,2,1,Big spenders
59,0073afbe-865d-45a6-8bb8-356b79afeace,689.0000000000016,13,53.00000000000012,8,1,1,1,Best Customers
60,007c3065-87b9-4bf3-84e3-35367618b8fe,219.44999999999993,7,31.34999999999999,26,2,1,1,Big spenders
61,007c85fe-e523-48e0-8648-357bfa8494cd,3.95,1,3.95,31,2,3,3,Lappsed
62,007d21c4-03da-4870-a349-35544893c004,53.000000000000014,4,13.250000000000004,89,3,2,2,Inactive Accounts
63,007ecdf1-5c9c-4664-8e9a-35604b419b89,3.95,1,3.95,72,3,3,3,Inactive Accounts
64,007f5956-a6a2-45cc-9b58-3530f601f511,112.74999999999996,5,22.54999999999999,105,3,1,1,Loyal Lapsed
65,008393f3-9c2a-4b6c-86e3-35797de97c98,219.9999999999998,8,27.499999999999975,5,1,1,1,Best Customers
66,0083b1cc-403b-4239-85e0-3529cd0981d1,16.6,2,8.3,37,2,2,2,Lappsed
67,0085a1f4-9a03-4016-b1f1-352e35eedcd3,414.0,8,51.75,24,2,1,1,Big spenders
68,0085a328-a7de-49c2-a0a1-355b99dd9af4,106.80000000000003,4,26.700000000000006,9,1,2,1,Big spenders
69,0085f5dd-72d4-4371-8b78-353bf8c56d0d,29.249999999999996,3,9.749999999999998,100,3,2,2,Inactive Accounts
70,0087437b-e0e5-4dcf-a93b-356979c8b4e3,3.95,1,3.95,125,3,3,3,Inactive Accounts
71,0087b560-845d-436e-8402-3531be088a57,38.5,2,19.25,6,1,2,2,Recent low value
72,00886c79-d2b3-4533-bb8d-356f0bd63404,33.4,2,16.7,51,2,2,2,Lappsed
73,008ac1b8-33b4-409a-8bb0-3532b3bb8360,3.95,1,3.95,75,3,3,3,Inactive Accounts
74,008afe30-ffd2-4a78-b8b5-35700ee20eea,288.44999999999965,9,32.04999999999996,24,2,1,1,Big spenders
75,008b6dfd-c986-4781-8cb7-35708538f7e3,3.95,1,3.95,89,3,3,3,Inactive Accounts
76,008f3b5b-d60e-4a41-8bb1-357363b513fd,9.099999999999998,2,4.549999999999999,45,2,2,3,Lappsed
77,0090431a-58c5-4a4a-9db7-356da6e8f740,3.95,1,3.95,104,3,3,3,Inactive Accounts
78,00914bdf-1650-46bc-ada0-356e11516eb1,79.40000000000002,4,19.850000000000005,34,2,2,2,Lappsed
79,0093dec6-7e60-4707-a99e-3567fc8b0411,131.75,5,26.35,63,2,1,1,Big spenders
80,00947d61-6502-4fab-95e0-353538d1bc69,1618.4000000000049,16,101.1500000000003,12,1,1,1,Best Customers
81,00948b7e-5254-4961-a253-355587ad5374,1115.3999999999996,13,85.79999999999997,12,1,1,1,Best Customers
82,0096225d-b193-449a-956f-352aabdf9ae3,687.0500000000018,13,52.850000000000136,35,2,1,1,Big spenders
83,009679d8-8e06-4b59-8285-3568005baf51,3.95,1,3.95,132,3,3,3,Inactive Accounts
84,0097463e-4626-4daf-b8a3-356d4372b2dc,11.9,2,5.95,97,3,2,3,Inactive Accounts
85,0097b027-8db7-435f-998d-3558bfd11533,369.4999999999994,10,36.94999999999994,10,1,1,1,Best Customers
86,009a78b2-57d9-4b03-b171-3570cdb53e43,17.7,2,8.85,87,3,2,2,Inactive Accounts
87,009ea4e8-d887-4a72-a0aa-3537938bc379,15.8,2,7.9,101,3,2,3,Inactive Accounts
88,00a5796a-e785-4a0c-8723-356b800d991c,6.35,1,6.35,115,3,3,3,Inactive Accounts
89,00a57e94-d69a-4f19-aeb4-356e2c1894f6,4.35,1,4.35,57,2,3,3,Lappsed
90,00a610c4-c24b-402a-a1a1-353435da9942,6.8,1,6.8,130,3,3,3,Inactive Accounts
91,00a73f93-e703-4541-9986-35743d0cf07f,0.2,1,0.2,70,3,3,3,Inactive Accounts
92,00ae9472-0951-4ebe-9d21-356b1965e51c,15.8,2,7.9,117,3,2,3,Inactive Accounts
93,00af7128-59ac-4dcc-a640-355007e09d08,43.800000000000004,3,14.600000000000001,28,2,2,2,Lappsed
94,00b68585-863b-4c53-b322-352fc714fa87,123.0,5,24.6,24,2,1,1,Big spenders
95,00b8d000-4e95-4839-b912-3580842e32e5,24.9,3,8.299999999999999,4,1,2,2,Recent low value
96,00bbce65-f739-41c3-8b00-353f41cda687,7.0,1,7.0,129,3,3,3,Inactive Accounts
97,00bd15b0-a9cc-4aa7-88dd-3527a241cbe3,15.8,2,7.9,50,2,2,3,Lappsed
98,00c1f6e7-8df9-4098-b3cd-35604d25f8d3,15.8,2,7.9,5,1,2,3,Recent low value
99,00c2acc8-5f2d-409c-9fe4-35721a71316d,3.95,1,3.95,81,3,3,3,Inactive Accounts
100,00c441d2-a903-4150-91b3-357a29b61d48,0.0,1,0.0,40,2,3,3,Lappsed
101,00c72e07-509d-4307-bb34-35262c8f8b97,101.2,4,25.3,6,1,2,1,Big spenders
102,00c85585-8769-434a-a1d0-35291ac54b10,60.90000000000001,3,20.300000000000004,125,3,2,2,Inactive Accounts
103,00cb7d5a-c657-4146-84c9-35722ff1ff8d,405.9999999999993,10,40.59999999999993,28,2,1,1,Big spenders
104,00ce7287-c3b2-4936-bdb2-35324e5cb52d,175.49999999999994,5,35.09999999999999,19,1,1,1,Best Customers
105,00cee826-3735-4ace-a006-355802b6fd4a,137.69999999999993,6,22.94999999999999,60,2,1,1,Big spenders
106,00d3fc00-df5e-458e-b5fe-35783461476c,35.1,3,11.700000000000001,42,2,2,2,Lappsed
107,00d4f0d8-e1f0-4c9b-a7d4-355a120fb6c1,16.599999999999998,2,8.299999999999999,76,3,2,2,Inactive Accounts
108,00d612a5-29f6-42ea-a38c-35794468991b,82.5,3,27.5,9,1,2,1,Big spenders
109,00d65a02-67a7-430a-b3da-357a9e250c5e,0.0,1,0.0,38,2,3,3,Lappsed
110,00da7565-f0cf-43ef-b90a-3571ed82069d,105.5,5,21.1,36,2,1,2,Loyal Customers
111,00db3258-ca9e-49a3-ac0e-357133f7590c,248.49999999999991,10,24.84999999999999,7,1,1,1,Best Customers
112,00de7932-d886-49fd-85ff-357b575fbe42,4.35,1,4.35,33,2,3,3,Lappsed
113,00df70cf-d5e8-4f50-b1a5-355d544486cd,334.3999999999999,8,41.79999999999999,22,1,1,1,Best Customers
114,00e04b30-3505-49fc-ba21-3526f25d678e,29.9,2,14.95,32,2,2,2,Lappsed
115,00e20c53-aa97-493a-871b-355185ec7282,335.2499999999997,9,37.24999999999997,10,1,1,1,Best Customers
116,00e3bb51-83c7-4c50-a6cf-3578da50ccfa,0.0,1,0.0,47,2,3,3,Lappsed
117,00e4df82-b491-4812-a373-356a74ba7f9f,16.6,2,8.3,70,3,2,2,Inactive Accounts
118,00e799d8-bfbe-46bf-b69b-356e08892082,27.900000000000006,3,9.300000000000002,102,3,2,2,Inactive Accounts
119,00ec2064-25bb-4b7c-a2b3-356ab57ddd90,3.95,1,3.95,119,3,3,3,Inactive Accounts
120,00ecfbfb-4ec1-4007-a253-3565ee39a183,63.20000000000002,4,15.800000000000004,113,3,2,2,Inactive Accounts
121,00f25e8d-60f1-44a1-ab39-3574eaa08743,12.7,2,6.35,66,2,2,3,Lappsed
122,00f3f6a6-0a5e-465f-a6f6-35267f0ca4f0,1793.9999999999925,20,89.69999999999962,7,1,1,1,Best Customers
123,00f54b83-ba19-4c53-811e-353df7d438cc,15.8,2,7.9,25,2,2,3,Lappsed
